player_a,player_b,present_a,present_b,painted_a,painted_b,score,winner
aquila,lu_public,true,true,true,true,88-44,aquila
aquila,mastercraze,true,true,true,true,90-50,
army,askonnox,true,true,false,true,50-90,askonnox
army,whitewolf,true,true,false,true,96-50,army
askonnox,chuhonez,true,true,true,true,45-88,chuhonez
aurus,disqord,true,true,true,true,0-0,aurus
aurus,ekko,true,true,true,true,42-57,ekko
bennz,chorche,true,true,false,false,34-74,
bennz,superkonsti,true,true,false,true,51-70,bennz
bugmann,scurvymcg,false,true,false,false,0-0,scurvymcg
bugmann,superkonsti,true,true,false,true,82-36,bugmann
chorche,schwarmbruder,true,true,false,true,76-88,chorche
chuhonez,empix,true,true,true,false,86-56,chuhonez
disqord,schwarmbruder,true,true,true,true,60-81,disqord
divado,ekko,true,true,false,true,33-62,ekko
divado,salkinus,true,true,false,true,58-59,salkinus
empix,scurvymcg,true,true,false,false,42-82,scurvymcg
lu_public,paenu,true,true,true,false,74-51,paenu
mastercraze,whitewolf,true,true,true,true,84-60,mastercraze
paenu,salkinus,true,true,false,true,25-52,salkinus
