player_a,player_b,present_a,present_b,painted_a,painted_b,score,winner
aquila,chuhonez,true,true,false,true,71-19,aquila
aquila,stardewd,false,false,false,false,46-49,stardewd
army,divado,true,true,false,false,65-0,army
army,lu_public,true,true,false,true,21-4,army
askonnox,lu_public,true,true,false,true,78-36,askonnox
askonnox,rem,true,true,false,false,53-81,rem
aurus,superkonsti,true,true,false,true,24-39,aurus
aurus,wagrainer,true,true,false,false,71-86,wagrainer
bennz,ekko,false,false,false,true,50-50,bennz
bennz,salkinus,true,true,false,true,48-70,salkinus
bugmann,ma5ter19,true,true,false,false,40-0,bugmann
bugmann,schwarmbruder,true,true,false,true,39-63,schwarmbruder
chorche,divado,true,true,false,false,54-36,chorche
chorche,stardewd,false,false,false,false,55-84,stardewd
chuhonez,kanemotri,true,true,true,true,90-28,chuhonez
disqord,empix,true,true,true,true,65-24,disqord
disqord,superkonsti,true,true,true,true,90-23,disqord
ekko,paeu,true,true,true,true,22-77,ekko
empix,mastercraze,true,true,true,true,22-76,mastercraze
kanemotri,ma5ter19,true,true,true,false,31-46,kanemotri
mastercraze,salkinus,true,true,true,true,36-68,salkinus
paenu,plops70,false,false,false,false,0-0,paenu
paenu,whitewolf,true,true,false,true,26-89,whitewolf
paeu,plops70,true,true,true,false,79-40,paeu
rem,schwarmbruder,true,true,false,true,58-50,schwarmbruder
wagrainer,whitewolf,true,true,false,true,30-82,whitewolf
