player_a,player_b,present_a,present_b,painted_a,painted_b,score,winner
aquila,disqord,true,true,false,true,81-40,aquila
aquila,schwarmbruder,true,true,false,false,58-64,schwarmbruder
army,bennz,true,true,false,false,0-40,bennz
army,bugmann,false,false,false,false,0-0,army
askonnox,chorche,true,true,false,false,41-46,askonnox
askonnox,divado,true,true,false,false,84-61,askonnox
aurus,empix,true,true,false,false,41-33,aurus
aurus,mastercraze,true,true,false,true,76-17,aurus
bennz,whitewolf,true,true,false,true,60-90,whitewolf
bugmann,chuhonez,false,false,false,false,0-0,chuhonez
chorche,chuhonez,true,true,false,false,58-43,chorche
disqord,paenu,true,true,true,false,40-0,disqord
divado,lupublic,true,true,false,true,17-79,lupublic
ekko,mastercraze,true,true,true,true,51-59,mastercraze
ekko,paenu,true,true,true,false,40-0,ekko
empix,superkonsti,true,true,false,true,34-80,superkonsti
kanemotri,rem,true,true,false,false,53-79,rem
kanemotri,salkinus,true,true,false,false,50-62,kanemotri
lupublic,schwarmbruder,true,true,true,false,46-69,schwarmbruder
paeu,scurvymcg,true,true,true,false,72-49,paeu
paeu,stardewd,false,false,true,false,0-0,stardewd
rem,salkinus,true,true,false,false,70-40,rem
scurvymcg,stardewd,false,false,false,false,0-0,stardewd
superkonsti,whitewolf,true,true,true,true,38-90,whitewolf
